,Ore_amps,Sulfur_tph,O2_scfm,Carbon_in,Sulf_in,CO3_in,O2,CO2,SO2,TCM,FeS2,CaCO3,T_1,T_2
0,90.0,11.0,7400.0,0.87,0.64,17.92,14.1787269,45.1533335,6.21908174,0.185126582,0.0245883492,16.2814379,1020.0920324000001,1036.061618
1,90.0,11.0,7400.0,0.87,0.64,17.92,14.231026279,45.122883317,6.1939516487,0.18513615675,0.02459005843,16.281237951,1019.816765276,1036.332015278
2,90.0,11.0,7400.0,0.87,0.64,17.92,14.224770573,45.119062039,6.2062088386,0.18514783038,0.024594574217,16.281017818,1019.9785053200001,1036.403463002
3,90.0,11.0,7400.0,0.87,0.64,17.92,14.216409434,45.125099903,6.2087355328,0.18515607319,0.02459723518,16.280788123,1019.991470306,1036.413098852
4,90.0,11.0,7400.0,0.87,0.64,17.92,14.208517209,45.132283266,6.2092749113,0.18516157161,0.024598550443,16.280572334,1019.9939885420001,1036.41532826
5,90.0,11.0,7400.0,0.87,0.64,17.92,14.20175517,45.13869732,6.2094148372,0.1851651678,0.02459914455,16.280384055,1019.9945071220002,1036.415963876
6,90.0,11.0,7400.0,0.87,0.64,17.92,14.196233077,45.143984268,6.2094687084,0.18516749728,0.024599397025,16.280227746,1019.994621134,1036.416191216
7,90.0,11.0,7400.0,0.87,0.64,17.92,14.191857362,45.148183675,6.2094995447,0.18516899657,0.02459949861,16.28010236,1019.99465042,1036.416287048
8,90.0,11.0,7400.0,0.87,0.64,17.92,14.188462974,45.151443714,6.2095209939,0.18516995648,0.024599536745,16.28000423,1019.994660698,1036.416330338
9,90.0,11.0,7400.0,0.87,0.64,17.92,14.185871638,45.153933301,6.2095367912,0.18517056815,0.024599549344,16.279928832,1019.9946660080001,1036.416349616
10,90.0,11.0,7400.0,0.87,0.64,17.92,14.18391802,45.155810615,6.2095485342,0.18517095619,0.024599552205,16.279871716,1019.994669572,1036.416357302
11,90.0,11.0,7400.0,0.87,0.64,17.92,14.182459992,45.157211952,6.2095572332,0.18517120126,0.024599551682,16.279828934,1019.994672218,1036.416359372
12,90.0,11.0,7400.0,0.87,0.64,17.92,14.181380856,45.158249306,6.2095636377,0.18517135535,0.024599550226,16.279797181,1019.9946742340001,1036.416358832
13,90.0,11.0,7400.0,0.87,0.64,17.92,14.180587702,45.159011876,6.2095683241,0.18517145179,0.024599548722,16.279773792,1019.994675764,1036.416357248
14,90.0,11.0,7400.0,0.87,0.64,17.92,14.180008188,45.159569134,6.2095717341,0.18517151186,0.024599547442,16.279756673,1019.9946769340002,1036.4163553760002
15,90.0,11.812915016486636,7400.0,0.87,0.64,17.92,13.350588754,45.666750157,6.5775413023,0.1853523108,0.024719830407,16.231833032,1023.9412422559999,1037.49700406
16,90.0,11.812915016486636,7400.0,0.87,0.64,17.92,12.763001816,46.17421337,6.6538692057,0.18552723178,0.02479892006,16.156793603,1024.305338822,1037.641678592
17,90.0,11.812915016486636,7400.0,0.87,0.64,17.92,12.363361231,46.547534126,6.6707134983,0.18566634645,0.024837445567,16.07517163,1024.370475926,1037.681562362
18,90.0,11.812915016486636,7400.0,0.8219575776601322,0.64,17.92,12.132165525,46.76166875,6.6751316225,0.18211109134,0.02484374481,15.998454834,1024.253147498,1037.5119941540001
19,90.0,11.812915016486636,7400.0,0.8219575776601322,0.64,17.92,12.004005323,46.875615801,6.6772219212,0.17770091049,0.024835263318,15.931830965,1024.173851864,1037.313266522
20,90.0,11.812915016486636,7400.0,0.8219575776601322,0.64,17.92,11.938445812,46.928875297,6.6788291969,0.17362989009,0.024822315743,15.876726505,1024.1237339240001,1037.132599892
